title,artist,material,material_group,width_cm,height_cm,area_cm2,country,period_raw,birth_year,death_year,period_mid_year,style,genre,estimate_low_eur,estimate_high_eur,estimate_mid_eur,sale_price_eur,price_category
"Une Rue aux Patis, Pontoise",CAMILLE PISSARRO,Unknown,Unknown,26.4,21.6,570.24,France,1830-1903,1830,1903,1866,Impressionism,Landscape,1546,2061,1803,1623,Low
La Charrue: two prints,CAMILLE PISSARRO,Unknown,Unknown,22.5,15.2,342.0,France,1830-1903,1830,1903,1866,Impressionism,Landscape,2576,4294,3435,2381,Low
Marché à Pontoise,CAMILLE PISSARRO,Unknown,Unknown,29.9,22.5,672.75,France,1830-1903,1830,1903,1866,Impressionism,Landscape,1718,2576,2147,3030,Low
Sfera per Galerie Kriwin,ARNALDO POMODORO,Unknown,Unknown,15.24,15.24,232.26,Italy,B. 1926,1926,,1926,Modernism,Sculptural,6870,10306,8588,12985,Medium
Stunt Man II,ROBERT RAUSCHENBERG,Unknown,Unknown,45.0,34.3,1543.5,United States,1925-2008,1925,2008,1966,Pop Art,Mixed Media,2576,4294,3435,1731,Low
Untitled (No Intoxicating Liquors on the Beach),ROBERT RAUSCHENBERG,Unknown,Unknown,,,,United States,1925-2008,1925,2008,1966,Pop Art,Mixed Media,687,1031,859,1190,Low
Opal Gospel,ROBERT RAUSCHENBERG,acrylic,Acrylic,45.72,50.8,2322.58,United States,1925-2008,1925,2008,1966,Pop Art,Mixed Media,2576,4294,3435,1623,Low
The Razorback Bunch: Etching II,ROBERT RAUSCHENBERG,Unknown,Unknown,95.9,47.3,4536.07,United States,1925-2008,1925,2008,1966,Pop Art,Mixed Media,859,1288,1073,1407,Low
Street Sounds,ROBERT RAUSCHENBERG,Unknown,Unknown,116.8,140.0,16352.0,United States,1925-2008,1925,2008,1966,Pop Art,Mixed Media,1718,2576,2147,1948,Low
Little Italy,RED GROOMS,Unknown,Unknown,97.5,41.9,4085.25,United States,B. 1937,1937,,1937,Pop Art,Figurative,2576,4294,3435,1623,Low
Traffic!,RED GROOMS,Unknown,Unknown,72.0,25.4,1828.8,United States,B. 1937,1937,,1937,Pop Art,Figurative,859,1288,1073,1623,Low
Matisse In Tangiers,RED GROOMS,Unknown,Unknown,95.9,75.2,7211.68,United States,B. 1937,1937,,1937,Pop Art,Figurative,859,1288,1073,1948,Low
Extra! Extra! Read All About It!,RED GROOMS,Unknown,Unknown,67.9,26.7,1812.93,United States,B. 1937,1937,,1937,Pop Art,Figurative,1718,2576,2147,2597,Low
Deli,RED GROOMS,Unknown,Unknown,74.6,24.8,1850.08,United States,B. 1937,1937,,1937,Pop Art,Figurative,1718,2576,2147,5952,Medium
Ruckus Tugboat,RED GROOMS,Unknown,Unknown,61.2,42.8,2619.36,United States,B. 1937,1937,,1937,Pop Art,Figurative,2576,4294,3435,3246,Low
Three prints by the artist,PIERRE-AUGUSTE RENOIR,Unknown,Unknown,32.5,25.2,819.0,France,1841-1919,1841,1919,1880,Impressionism,Figurative,5153,6870,6011,5411,Low
Two prints by the artist,PIERRE-AUGUSTE RENOIR,Unknown,Unknown,45.3,28.5,1291.05,France,1841-1919,1841,1919,1880,Impressionism,Figurative,2147,3006,2576,4545,Low
"Le Chapeau épinglé, 2è planche",PIERRE-AUGUSTE RENOIR,Unknown,Unknown,61.9,48.6,3008.34,France,1841-1919,1841,1919,1880,Impressionism,Figurative,4294,6012,5153,10821,Medium
L'Album des Douze lithographies originales de Pierre-Auguste Renoir,PIERRE-AUGUSTE RENOIR,Unknown,Unknown,33.0,25.0,825.0,France,1841-1919,1841,1919,1880,Impressionism,Figurative,3435,5153,4294,9739,Medium
El Niño del taco,DIEGO RIVERA,Unknown,Unknown,41.9,30.2,1265.38,Mexico,1886-1957,1886,1957,1922,Mexican Muralism,Social Realism,3435,5153,4294,3787,Low
"John Adams Rosenquist, Heir Apparent",JAMES ROSENQUIST,Unknown,Unknown,30.1,25.0,752.5,United States,1933-2017,1933,2017,1975,Pop Art,Collage,429,601,515,216,Low
Four prints by the artist,JAMES ROSENQUIST,Unknown,Unknown,78.1,51.1,3990.91,United States,1933-2017,1933,2017,1975,Pop Art,Collage,4294,6012,5153,,
The Light Bulb Shining,JAMES ROSENQUIST,Unknown,Unknown,121.0,94.6,11446.6,United States,1933-2017,1933,2017,1975,Pop Art,Collage,2576,4294,3435,3463,Low
Poets Bust,DIETER ROTH,Unknown,Unknown,33.0,50.5,1666.5,Germany,1930-1998,1930,1998,1964,Fluxus,Experimental,515,687,601,216,Low
"Berlin 1, from German Cities",DIETER ROTH,Unknown,Unknown,54.9,77.2,4238.28,Germany,1930-1998,1930,1998,1964,Fluxus,Experimental,1718,2576,2147,325,Low
Double Quartet,DIETER ROTH,Unknown,Unknown,80.0,61.6,4928.0,Germany,1930-1998,1930,1998,1964,Fluxus,Experimental,515,687,601,757,Low
"Laquais, from Les Fleurs du Mal",GEORGES ROUAULT,Unknown,Unknown,31.4,21.6,678.24,France,1871-1958,1871,1958,1914,Expressionism,Religious,859,1288,1073,866,Low
Eleven prints by the artist,GEORGES ROUAULT,Unknown,Unknown,31.4,22.0,690.8,France,1871-1958,1871,1958,1914,Expressionism,Religious,1718,2576,2147,1082,Low
"La Source, from L'album du paysage",KER-XAVIER ROUSSEL,Unknown,Unknown,31.4,41.2,1293.68,France,1867-1944,1867,1944,1906,Post-Impressionism,Figurative,1288,2147,1717,,
Manitou,LUDWIG SANDER,Unknown,Unknown,55.9,50.1,2800.59,United States,1906–1975,1906,1975,1940,Abstract Expressionism,Abstract,344,515,429,757,Low
Three prints by the artist,GEORGE SEGAL,Unknown,Unknown,75.8,55.9,4237.22,United States,1924-2000,1924,2000,1962,Pop Art,Sculptural,859,1288,1073,1407,Low
Two prints by the artist,ARMAND SEGUIN,Unknown,Unknown,40.0,23.2,928.0,France,1869-1904,1869,1904,1886,Post-Impressionism,Figurative,1718,2576,2147,3030,Low
"Fortín de las Flores (First Version), from Ten From Leo Castelli",FRANK STELLA,Unknown,Unknown,43.5,55.9,2431.65,United States,1936-2024,1936,2024,1980,Minimalism,Abstract,2576,4294,3435,8116,Medium
Aluminum Series: two prints,FRANK STELLA,Unknown,Unknown,28.6,21.9,626.34,United States,1936-2024,1936,2024,1980,Minimalism,Abstract,3435,5153,4294,1731,Low
Two prints by the artist,JAMES JACQUES JOSEPH TISSOT,Unknown,Unknown,25.1,35.6,893.56,France,1836-1906,1836,1906,1871,Realism,Portraiture,3435,5153,4294,4328,Low
Clarte I and II,MARK TOBEY,Unknown,Unknown,33.5,22.0,737.0,Unknown,1890-1976,1890,1976,1933,Unknown,Unknown,859,1288,1073,325,Low
Two prints by the artist,HENRI DE TOULOUSE-LAUTREC,Unknown,Unknown,34.3,54.0,1852.2,France,1864-1901,1864,1901,1882,Post-Impressionism,Portraits and Posters,2147,3006,2576,2164,Low
May Milton,HENRI DE TOULOUSE-LAUTREC,Unknown,Unknown,80.3,61.9,4970.57,France,1864-1901,1864,1901,1882,Post-Impressionism,Portraits and Posters,4294,6012,5153,4328,Low
Cycle Michael,HENRI DE TOULOUSE-LAUTREC,Unknown,Unknown,87.6,124.1,10871.16,France,1864-1901,1864,1901,1882,Post-Impressionism,Portraits and Posters,2576,4294,3435,2597,Low
A group of three prints,VARIOUS ARTISTS,Unknown,Unknown,49.8,58.4,2908.32,Unknown,Период не найден,,,,Unknown,Unknown,3435,5153,4294,,
Flight,VARIOUS ARTISTS,Unknown,Unknown,54.5,3.5,190.75,Unknown,Период не найден,,,,Unknown,Unknown,5153,6870,6011,8116,Medium
Two prints by the artist,JACQUES VILLON,Unknown,Unknown,49.9,41.6,2075.84,France,1875-1963,1875,1963,1919,Cubism,Abstract,2147,3006,2576,2813,Low
"La Couturière, from La Revue blanche",EDOUARD VUILLARD,Unknown,Unknown,24.1,16.2,390.42,France,1868-1940,1868,1940,1904,Post-Impressionism,Domestic Scenes,1718,2576,2147,1623,Low
"The Beggars, from First Venice Set",JAMES MCNEILL WHISTLER,Unknown,Unknown,30.8,21.3,656.04,United States,1834-1903,1834,1903,1868,Tonalism,Portrait and Landscape,2576,4294,3435,8116,Medium
The Garden,JAMES MCNEILL WHISTLER,Unknown,Unknown,30.5,23.5,716.75,United States,1834-1903,1834,1903,1868,Tonalism,Portrait and Landscape,8588,12882,10735,15149,Medium
The Rialto,JAMES MCNEILL WHISTLER,Unknown,Unknown,29.7,20.2,599.94,United States,1834-1903,1834,1903,1868,Tonalism,Portrait and Landscape,2576,4294,3435,2164,Low
"Nocturne, from First Venice Set",JAMES MCNEILL WHISTLER,Unknown,Unknown,20.3,29.7,602.91,United States,1834-1903,1834,1903,1868,Tonalism,Portrait and Landscape,17176,25764,21470,23806,High
"Riva, No. 2, from Second Venice Set",JAMES MCNEILL WHISTLER,Unknown,Unknown,20.6,30.5,628.3,United States,1834-1903,1834,1903,1868,Tonalism,Portrait and Landscape,4294,6012,5153,,
"The Traghetto, No. 2",JAMES MCNEILL WHISTLER,Unknown,Unknown,24.0,30.5,732.0,United States,1834-1903,1834,1903,1868,Tonalism,Portrait and Landscape,2576,4294,3435,2164,Low
"Edward G. Kennedy, 1910",THE ETCHED WORK OF WHISTLER,Unknown,Unknown,,,,Unknown,Период не найден,,,,Unknown,Unknown,687,1031,859,8116,Medium
Pommes et poires,LOUIS VALTAT,Unknown,Unknown,15.0,23.4,351.0,France,1869-1952,1869,1952,1910,Post-Impressionism,Landscape,6870,10306,8588,20560,High
Zinnias (Panneau de fleurs),LOUIS VALTAT,oil on canvas,Oil,22.7,17.2,390.44,France,1869-1952,1869,1952,1910,Post-Impressionism,Landscape,6012,8588,7300,11903,Medium
Bouquet de fleurs dans une cruche,SUZANNE VALADON,oil on canvas,Oil,61.3,50.2,3077.26,France,1865-1938,1865,1938,1902,Post-Impressionism,Still Life,25764,42941,34352,51941,High
Bouquet de violettes et jonquilles dans un pichet,EDOUARD VUILLARD,oil on canvas,Oil,22.5,19.0,427.5,France,1868-1940,1868,1940,1904,Nabis,Interior,34352,51529,42940,64926,Premium
"Le port du Loch, pointe du Raz",HENRY MORET,oil on canvas,Oil,46.0,61.1,2810.6,France,1856-1913,1856,1913,1884,Impressionism,Landscape,42941,60117,51529,119031,Premium
Falaises de Normandie,GUSTAVE LOISEAU,oil on canvas,Oil,60.8,73.9,4493.12,France,1865-1935,1865,1935,1900,Impressionism,Landscape,128822,214703,171762,297578,Premium
Maison dans un paysage,PIERRE-AUGUSTE RENOIR,oil on canvas,Oil,20.32,38.1,774.19,France,1841-1919,1841,1919,1880,Impressionism,Portrait,257643,429406,343524,259705,Premium
"L'âge d'airain, petit modèle dit aussi ""2ème réduction""",AUGUSTE RODIN,bronze,Bronze,,,,France,1840-1917,1840,1917,1878,Realism,Sculpture,154586,214703,184644,281347,Premium
Vue de Port-en-Bessin,LOUIS VALTAT,oil on canvas,Oil,46.4,55.4,2570.56,France,1869-1952,1869,1952,1910,Post-Impressionism,Landscape,25764,42941,34352,41120,High
Paysage fluvial,ALBERT MARQUET,Unknown,Unknown,18.8,24.0,451.2,France,1875-1947,1875,1947,1911,Fauvism,Landscape,21470,30058,25764,34627,High
"Venise, le quai de la douane",EUGENE BOUDIN,Unknown,Unknown,31.0,22.4,694.4,France,1824-1898,1824,1898,1861,Impressionism,Landscape,51529,68705,60117,59516,Premium
Géraniums,PIERRE-AUGUSTE RENOIR,oil on canvas,Oil,16.2,19.0,307.8,France,1841-1919,1841,1919,1880,Impressionism,Portrait,25764,42941,34352,59516,Premium
Roses et capucines,HENRI FANTIN-LATOUR,oil on canvas,Oil,61.9,54.5,3373.55,France,1836-1904,1836,1904,1870,Realism,Still Life,154586,214703,184644,238063,Premium
"Baiser, grand modèle",AUGUSTE RODIN,bronze,Bronze,,,,France,1840-1917,1840,1917,1878,Realism,Sculpture,2576434,4294057,3435245,2952594,Premium
Lampadaire modèle (feuille),ALBERTO GIACOMETTI,bronze,Bronze,,,,Switzerland,1901-1966,1901,1966,1934,Surrealism,Sculpture,128822,214703,171762,324631,Premium
"Passionnément, pas du tout",KAY SAGE,collage,Other,28.2,20.57,580.07,United States,1898-1963,1898,1963,1930,Surrealism,Abstract,17176,25764,21470,,
Exercice prénuptial,VICTOR BRAUNER,oil on canvas,Oil,81.0,65.3,5289.3,Romania,1903-1966,1903,1966,1934,Surrealism,Abstract,60117,85881,72999,59516,Premium
Oiseau sur une branche,JOAN MIRO,bronze,Bronze,,,,Spain,1893-1983,1893,1983,1938,Surrealism,Abstract,51529,68705,60117,48695,High
Working Model for Seated Figure: Arms Outstretched,HENRY MOORE,bronze,Bronze,,,,United Kingdom,1898-1986,1898,1986,1942,Abstract,Sculpture,214703,300584,257643,238063,Premium
Swiftly Walk over the Western Wave,MAN RAY,Unknown,Unknown,15.6,24.0,374.4,United States,1890-1976,1890,1976,1933,Surrealism,Photography,25764,42941,34352,70337,Premium
She Walks,LEONORA CARRINGTON,oil on canvas,Oil,20.32,91.44,1858.06,United Kingdom,1917-2011,1917,2011,1964,Surrealism,Abstract,257643,429406,343524,703367,Premium
Naranjas,FERNANDO BOTERO,oil on canvas,Oil,106.0,94.0,9964.0,Colombia,1932-2023,1932,2023,1978,Boteroism,Portrait,257643,343525,300584,302989,Premium
Tête,JOAN MIRO,bronze,Bronze,,,,Spain,1893-1983,1893,1983,1938,Surrealism,Abstract,42941,60117,51529,59516,Premium
Upright Internal/External Form: Flower,HENRY MOORE,bronze,Bronze,,,,United Kingdom,1898-1986,1898,1986,1942,Abstract,Sculpture,154586,214703,184644,302989,Premium
La Musa,GIORGIO DE CHIRICO,oil on canvas,Oil,55.4,33.7,1866.98,Italy,1888-1978,1888,1978,1933,Metaphysical Painting,Surrealism,154586,214703,184644,238063,Premium
Mélancolie,LEOPOLD SURVAGE,oil on canvas,Oil,61.0,49.8,3037.8,Russia,1878-1968,1878,1968,1923,Abstract,Abstract,25764,42941,34352,54105,Premium
Seated Figure,HENRY MOORE,bronze,Bronze,,,,United Kingdom,1898-1986,1898,1986,1942,Abstract,Sculpture,343525,515287,429406,,
Reclining Figure,HENRY MOORE,bronze,Bronze,,,,United Kingdom,1898-1986,1898,1986,1942,Abstract,Sculpture,34352,51529,42940,51941,High
Tête florale,JEAN ARP,bronze,Bronze,,,,Unknown,HANS,,,,Dadaism,Sculpture,60117,85881,72999,216420,Premium
Fin de journée ou Le cheval rouge,MARC CHAGALL,oil on canvas,Oil,54.9,67.2,3689.28,Belarus,1887-1985,1887,1985,1936,Modernism,Symbolism,858811,1288217,1073514,1027997,Premium
Tête couronnée,JOAN MIRO,bronze,Bronze,,,,Spain,1893-1983,1893,1983,1938,Surrealism,Abstract,21470,30058,25764,64926,Premium
Femmes au perroquet,AFTER FERNAND LEGER,bronze,Bronze,81.7,119.6,9771.32,France,1881-1955,1881,1955,1918,Cubism,Abstract,42941,60117,51529,64926,Premium
Nature morte aux oeufs sur le plat,BERNARD BUFFET,oil on canvas,Oil,73.1,100.0,7310.0,France,1928-1999,1928,1999,1964,Expressionism,Still Life,85881,128822,107351,97389,Premium
"Le Carrousel du Louvre, étude",MARC CHAGALL,oil on canvas,Oil,47.2,37.8,1784.16,Belarus,1887-1985,1887,1985,1936,Modernism,Symbolism,300584,386465,343524,,
Port du Havre,JEAN DUFY,oil on canvas,Oil,46.4,55.0,2552.0,France,1888-1964,1888,1964,1926,Fauvism,Landscape,34352,51529,42940,34627,High
La capeline noire,JEAN-PIERRE CASSIGNEUL,oil on canvas,Oil,91.8,65.1,5976.18,France,B. 1935,1935,,1935,Post-Impressionism,Portrait,42941,60117,51529,70337,Premium
Paysage,MAURICE DE VLAMINCK,oil on canvas,Oil,46.0,54.9,2525.4,France,1876-1958,1876,1958,1917,Fauvism,Landscape,34352,51529,42940,,
Rue à Compiègne (Oise),MAURICE UTRILLO,oil on canvas,Oil,46.3,55.0,2546.5,France,1883-1955,1883,1955,1919,Naïve Art,Cityscape,42941,60117,51529,,
Madame Reine (Georges) Bénard,EDOUARD VUILLARD,Unknown,Unknown,47.0,38.4,1804.8,France,1868-1940,1868,1940,1904,Nabis,Interior,42941,60117,51529,91979,Premium
Printemps à la Frette-Montigny,ALBERT MARQUET,oil on canvas,Oil,65.0,80.9,5258.5,France,1875-1947,1875,1947,1911,Fauvism,Landscape,103057,154586,128821,,
"Maison dans la clairière, Choisel",LOUIS VALTAT,oil on canvas,Oil,81.3,64.9,5276.37,France,1869-1952,1869,1952,1910,Post-Impressionism,Landscape,42941,60117,51529,34627,High
Paysage d'Arcy-sur-Cure,MAXIMILIEN LUCE,oil on canvas,Oil,20.32,78.74,1600.0,France,1858-1941,1858,1941,1900,Pointillism,Landscape,60117,85881,72999,75747,Premium
La table sur la cour,HENRI LE SIDANER,oil on canvas,Oil,20.32,81.28,1651.61,France,1862-1939,1862,1939,1900,Impressionism,Landscape,429406,601168,515287,1027997,Premium
Pergola de la cuisine de Marquayrol en automne,HENRI MARTIN,oil on canvas,Oil,65.5,82.2,5384.1,France,1860-1943,1860,1943,1902,Post-Impressionism,Landscape,103057,154586,128821,,
Maison de campagne,GUSTAVE LOISEAU,oil on canvas,Oil,49.8,61.6,3067.68,France,1865-1935,1865,1935,1900,Impressionism,Landscape,68705,103057,85881,,
"Le verger à Moret-sur-Loing, printemps",ALFRED SISLEY,oil on canvas,Oil,46.4,55.2,2561.28,France,1839-1899,1839,1899,1869,Impressionism,Landscape,343525,515287,429406,692546,Premium
Femme assise lisant,GEORGES LEMMEN,Unknown,Unknown,27.0,34.8,939.6,Belgium,1865-1916,1865,1916,1890,Neo-Impressionism,Portrait,10306,15459,12882,9198,Medium
La rivière à Montreuil-sur-Mer,ANDRE DERAIN,oil on canvas,Oil,65.1,54.2,3528.42,France,1880-1954,1880,1954,1917,Fauvism,Landscape,128822,214703,171762,140673,Premium
Le bal champêtre,RAOUL DUFY,oil on canvas,Oil,46.1,55.2,2544.72,France,1877-1953,1877,1953,1915,Fauvism,Landscape,429406,687049,558227,,
"Poissy, Le Pont",MAURICE DE VLAMINCK,oil on canvas,Oil,60.0,81.1,4866.0,France,1876-1958,1876,1958,1917,Fauvism,Landscape,68705,103057,85881,119031,Premium
La croisée des chemins,EMILE OTHON FRIESZ,oil on canvas,Oil,51.2,64.3,3292.16,France,1879-1949,1879,1949,1914,Fauvism,Landscape,6870,10306,8588,16232,Medium
Nature morte à la soupière et bouteille,ANDRE DERAIN,oil on canvas,Oil,59.7,55.5,3313.35,France,1880-1954,1880,1954,1917,Fauvism,Landscape,128822,214703,171762,129852,Premium
Nu à la mantille dit aussi Le divan au modèle,KEES VAN DONGEN,oil on canvas,Oil,46.4,55.3,2565.92,Netherlands,1877-1968,1877,1968,1922,Fauvism,Portrait,515287,772930,644108,595156,Premium
Marie ouvrant la fenêtre,EDOUARD VUILLARD,Unknown,Unknown,27.3,28.5,778.05,France,1868-1940,1868,1940,1904,Nabis,Interior,60117,85881,72999,81158,Premium
Fleurs dans un vase vert,ODILON REDON,Unknown,Unknown,62.9,37.9,2383.91,France,1840-1916,1840,1916,1878,Symbolism,Fantasy,214703,386465,300584,,
L’après-midi d’un faune,AFTER PAUL GAUGUIN,bronze,Bronze,,,,France,1848-1903,1848,1903,1876,Post-Impressionism,Symbolism,10306,15459,12882,10821,Medium
Oviri,AFTER PAUL GAUGUIN,bronze,Bronze,,,,France,1848-1903,1848,1903,1876,Post-Impressionism,Symbolism,10306,15459,12882,16232,Medium
Tête d'homme,ODILON REDON,oil on canvas,Oil,38.3,46.2,1769.46,France,1840-1916,1840,1916,1878,Symbolism,Fantasy,128822,171762,150292,,
Mystischer Kopf: Blauer Mund,ALEXEJ VON JAWLENSKY,Unknown,Unknown,36.3,29.6,1074.48,Russia,1864-1941,1864,1941,1902,Expressionism,Portrait,644109,1073514,858811,811577,Premium
Nature morte cubiste,HENRI HAYDEN,oil on canvas,Oil,46.4,65.4,3034.56,Poland,1883-1970,1883,1970,1926,Cubism,Still Life,51529,68705,60117,64926,Premium
Figure à la guitare,JACQUES LIPCHITZ,bronze,Bronze,19.2,26.5,508.8,Lithuania,1891-1973,1891,1973,1932,Cubism,Sculpture,10306,15459,12882,16232,Medium
"Forme-rythme, les roses",ALBERT GLEIZES,oil on canvas,Oil,135.0,75.7,10219.5,France,1881-1953,1881,1953,1917,Cubism,Abstract,68705,103057,85881,86568,Premium
Composition aux trois fleurs,FERNAND LEGER,oil on canvas,Oil,65.7,49.8,3271.86,France,1881-1955,1881,1955,1918,Cubism,Abstract,515287,687049,601168,,
Petite femme au miroir,HENRI LAURENS,Unknown,Unknown,,,,France,1885-1954,1885,1954,1920,Cubism,Sculpture,17176,25764,21470,17314,Medium
Danseuse espagnole,ALBERT GLEIZES,oil on canvas,Oil,116.0,64.6,7493.6,France,1881-1953,1881,1953,1917,Cubism,Abstract,85881,128822,107351,102800,Premium
La Bacchante ou Nu allongé dans un paysage,ANDRE LHOTE,Unknown,Unknown,106.0,106.0,11236.0,France,1885-1962,1885,1962,1924,Cubism,Landscape,188939,240467,214703,,
"Figure habillée, dit aussi Figure ou Figure de femme debout",JOSEPH CSAKY,bronze,Bronze,,,,Hungary,1888-1954,1888,1954,1921,Cubism,Sculpture,21470,30058,25764,25970,High
Nature morte au pain et au couteau,LOUIS MARCOUSSIS,oil on canvas,Oil,50.1,61.0,3056.1,Poland,1883-1941,1883,1941,1912,Cubism,Still Life,51529,68705,60117,,
Composition,ALBERT GLEIZES,Unknown,Unknown,115.2,155.4,17902.08,France,1881-1953,1881,1953,1917,Cubism,Abstract,42941,60117,51529,81158,Premium
Sculpture mythique,JEAN ARP,bronze,Bronze,,,,Unknown,HANS,,,,Dadaism,Sculpture,214703,300584,257643,,
Giocoliere e cavallo,MARINO MARINI,Unknown,Unknown,99.2,69.1,6854.72,Italy,1901-1980,1901,1980,1940,Modernism,Sculpture,68705,103057,85881,64926,Premium
The Gordian Knot,FRANCOISE GILOT,oil on canvas,Oil,100.4,81.4,8172.56,France,1921-2023,1921,2023,1972,Post-Impressionism,Portrait,51529,68705,60117,,
Studio per Miracolo,MARINO MARINI,Unknown,Unknown,131.3,83.9,11016.07,Italy,1901-1980,1901,1980,1940,Modernism,Sculpture,85881,128822,107351,,
L'Agressif,JEAN ARP,bronze,Bronze,,,,Unknown,HANS,,,,Dadaism,Sculpture,68705,103057,85881,,
Mariage aux poissons,MARC CHAGALL,oil on canvas,Oil,65.4,49.8,3256.92,Belarus,1887-1985,1887,1985,1936,Modernism,Symbolism,429406,601168,515287,,
Les maisons sur la rivi è re au clair de lune,HENRI LE SIDANER,oil on canvas,Oil,45.9,38.0,1744.2,France,1862-1939,1862,1939,1900,Impressionism,Landscape,51529,68705,60117,97389,Premium
L'Escarpolette,HENRI LEBASQUE,oil on canvas,Oil,89.0,116.5,10368.5,France,1865-1937,1865,1937,1901,Post-Impressionism,Landscape,103057,154586,128821,108210,Premium
Villiers sur Morin,ARMAND GUILLAUMIN,oil on canvas,Oil,60.0,72.8,4368.0,France,1841-1927,1841,1927,1884,Impressionism,Landscape,25764,42941,34352,48695,High
Paysage au toit rouge,PIERRE-AUGUSTE RENOIR,oil on canvas,Oil,12.3,20.5,252.15,France,1841-1919,1841,1919,1880,Impressionism,Portrait,42941,60117,51529,51941,High
"Antibes, Les Fortifications",EUGENE BOUDIN,oil on canvas,Oil,50.8,73.66,3741.93,France,1824-1898,1824,1898,1861,Impressionism,Landscape,85881,128822,107351,140673,Premium
Yvonne Printemps dans le canapé,EDOUARD VUILLARD,Unknown,Unknown,120.0,80.2,9624.0,France,1868-1940,1868,1940,1904,Nabis,Interior,386465,558227,472346,,
Femme au tub,PIERRE BONNARD,oil on canvas,Oil,47.7,36.8,1755.36,France,1867-1947,1867,1947,1907,Post-Impressionism,Interior,128822,214703,171762,129852,Premium
"Le Baiser, 4ème réduction ou petit modèle dit aussi "" réduction no. 2""",AUGUSTE RODIN,bronze,Bronze,,,,France,1840-1917,1840,1917,1878,Realism,Sculpture,128822,214703,171762,259705,Premium
Femme nue assise,PIERRE-AUGUSTE RENOIR,oil on canvas,Oil,14.3,14.0,200.2,France,1841-1919,1841,1919,1880,Impressionism,Portrait,42941,60117,51529,119031,Premium
"Trois faunesses, dit aussi Trois bretonnes",AUGUSTE RODIN,bronze,Bronze,,,,France,1840-1917,1840,1917,1878,Realism,Sculpture,85881,128822,107351,,
La Prairie,PIERRE-AUGUSTE RENOIR,oil on canvas,Oil,32.5,46.1,1498.25,France,1841-1919,1841,1919,1880,Impressionism,Portrait,214703,300584,257643,162315,Premium
"Fécamp, Le Port",EUGENE BOUDIN,oil on canvas,Oil,40.5,55.3,2239.65,France,1824-1898,1824,1898,1861,Impressionism,Landscape,34352,51529,42940,30299,High
"Vénus, petit modèle dit aussi ""Aphrodite, petit modèle""",AUGUSTE RODIN,bronze,Bronze,,,,France,1840-1917,1840,1917,1878,Realism,Sculpture,51529,68705,60117,64926,Premium
Femme en rouge dans un paysage,PIERRE-AUGUSTE RENOIR,oil on canvas,Oil,38.6,46.7,1802.62,France,1841-1919,1841,1919,1880,Impressionism,Portrait,128822,214703,171762,183957,Premium
Nu debout se coiffant (Baigneuse aux bras levés),ARISTIDE MAILLOL,bronze,Bronze,,,,France,1861-1944,1861,1944,1902,Classicism,Sculpture,214703,300584,257643,,
"Caudebec-en-Caux, le quai de la Seine",EUGENE BOUDIN,oil on canvas,Oil,40.3,55.2,2224.56,France,1824-1898,1824,1898,1861,Impressionism,Landscape,85881,128822,107351,,
Bateau en haute mer,ODILON REDON,Unknown,Unknown,20.32,30.48,619.35,France,1840-1916,1840,1916,1878,Symbolism,Fantasy,42941,60117,51529,54105,Premium
"Torse de l'urne, Etude de nu",EMILE-ANTOINE BOURDELLE,bronze,Bronze,,,,France,1861-1929,1861,1929,1895,Modernism,Sculpture,4294,6012,5153,,
Six roses,HENRI FANTIN-LATOUR,oil on canvas,Oil,33.1,37.3,1234.63,France,1836-1904,1836,1904,1870,Realism,Still Life,85881,128822,107351,108210,Premium
Vase d'œillets,LOUIS VALTAT,Unknown,Unknown,33.2,24.5,813.4,France,1869-1952,1869,1952,1910,Post-Impressionism,Landscape,8588,12882,10735,9198,Medium
Anémones dans un vase blanc,HENRI CHARLES MANGUIN,oil on canvas,Oil,55.2,38.0,2097.6,France,1874-1949,1874,1949,1912,Fauvism,Landscape,8588,12882,10735,16232,Medium
Reines marguerites et fleurs diverses dans un vase,HENRI FANTIN-LATOUR,oil on canvas,Oil,20.32,35.56,722.58,France,1836-1904,1836,1904,1870,Realism,Still Life,51529,68705,60117,,
Petite Vénus à la pomme,PIERRE-AUGUSTE RENOIR AND RICHARD GUINO,bronze,Bronze,,,,Unknown,1841-1919,1841,1919,1880,Impressionism,Collaborative Sculpture,25764,42941,34352,,
Pierrots bleus aux fleurs rouges,GEORGES ROUAULT,Unknown,Unknown,35.5,27.0,958.5,France,1871-1958,1871,1958,1914,Expressionism,Religious,25764,42941,34352,25970,High
Acrobates et musicien au ciel mauve,MARC CHAGALL,gouache,Gouache,49.2,37.1,1825.32,Belarus,1887-1985,1887,1985,1936,Modernism,Symbolism,257643,429406,343524,454483,Premium
Meadow in the Sunshine,FRANCOISE GILOT,oil on canvas,Oil,73.2,60.3,4413.96,France,1921-2023,1921,2023,1972,Post-Impressionism,Portrait,68705,103057,85881,119031,Premium
Femme sur fond jaune,JEAN-PIERRE CASSIGNEUL,oil on canvas,Oil,91.9,72.7,6681.13,France,B. 1935,1935,,1935,Post-Impressionism,Portrait,34352,51529,42940,86568,Premium
Nature morte à la fenêtre ouverte,HENRI HAYDEN,oil on canvas,Oil,60.0,73.0,4380.0,Poland,1883-1970,1883,1970,1926,Cubism,Still Life,5153,6870,6011,8657,Medium
